Company,Question ID,From Sentences,Unit,Value
Great Eastern Holdings Ltd_report,B-ENV_GHG_AET,"greenhouse gas emissions absolute emissions tonnes of carbon dioxide equivalent ¹ year: 2022, value: 13,080.4 year: 2021, value: 12,093.6 year: 2020, value: 11,529.2 year: 2019, value: 14,732.0",tCO2e,13080.4
Great Eastern Holdings Ltd_report,B-ENV_GHG_AE1,"greenhouse gas scope 1 – diesel consumption of backup generators² year: 2022, value: 0.43 year: 2021, value: 30.82 year: 2020, value: 0.00 year: 2019, value: 0.00 green house gas scope 1 – fuel consumption of company vehicles year: 2022, value: 163.0 year: 2021, value: na year: 2020, value: na year: 2019, value: na",tCO2e,163.43
Great Eastern Holdings Ltd_report,B-ENV_GHG_AE2,"greenhouse gas scope 2 – electricity consumption of own business operations¹ year: 2022, value: 12,714.7 year: 2021, value: 12,049.3 year: 2020, value: 11,512.5 year: 2019, value: 14,542.0",tCO2e,12714.7
Great Eastern Holdings Ltd_report,B-ENV_GHG_AE3,"greenhouse gas scope 3 – business travel by employee³ year: 2022, value: 202.3 year: 2021, value: 13.5 year: 2020, value: 16.7 year: 2019, value: 190.0 type of emissions: scope 3 emissions from data centre, unit: measures carbon dioxide equivalent across various operational scopes, 2022: 2,430.0, 2021: 1,737.0 type of emissions: scope 1 & 2 carbon footprint market-cap measures carbon dioxide equivalent across various operational scopes per million singapore dollar invested , 2022: 114.0, 2021: 119.4 type of emissions: weighted average carbon intensity tonnes of carbon dioxide equivalent per million singapore dollar sales , 2022: 195.0, 2021: 192.6 type of emissions: scope 3 emissions from investment corporate bond type of emissions: scope 1 & 2 financed carbon footprint evic tonnes of carbon dioxide equivalent per million singapore dollar invested , 2022: 82.2, 2021: 88.4 type of emissions: weighted average carbon intensity tonnes of carbon dioxide equivalent per million singapore dollar sales , 2022: 347.8, 2021: 403.1",tCO2e,2632.3
Great Eastern Holdings Ltd_report,B-ENV_GHG_EIT,"emissions intensity ¹ year: 2022, value: 2.61 year: 2021, value: 2.54 year: 2020, value: 2.44 year: 2019, value: 3.25",tCO2e/FTE,2.61
Great Eastern Holdings Ltd_report,B-ENV_GHG_EI1,"greenhouse gas scope 1 – diesel consumption of backup generators per total headcount year: 2022, value: 0.00 year: 2021, value: 0.01 year: 2020, value: 0.00 year: 2019, value: 0.00 greenhouse gas scope 1 – fuel consumption of company vehicles per total headcount year: 2022, value: 0.03 year: 2021, value: na year: 2020, value: na year: 2019, value: na",tCO2e/FTE,0.03
Great Eastern Holdings Ltd_report,B-ENV_GHG_EI2,"greenhouse gas scope 2 – electricity consumption of own business operations per total headcount ¹ year: 2022, value: 2.54 year: 2021, value: 2.54 year: 2020, value: 2.44 year: 2019, value: 3.21",tCO2e/FTE,2.54
Great Eastern Holdings Ltd_report,B-ENV_GHG_EI3,"greenhouse gas scope 3 – business travel by employee per total headcount year: 2022, value: 0.04 year: 2021, value: 0.00 year: 2020, value: 0.00 year: 2019, value: 0.04",tCO2e/FTE,0.04
Great Eastern Holdings Ltd_report,B-ENV_ENC_TEC,"energy consumption total consumption mwh ¹ year: 2022, value: 23,690.7 year: 2021, value: 22,483.8 year: 2020, value: 21,585.6 year: 2019, value: 26,965.7",MWh,23690.7
Great Eastern Holdings Ltd_report,B-ENV_ENC_ECI,"energy consumption intensity mwh per total headcount ¹ year: 2022, value: 4.6 year: 2021, value: 4.7 year: 2020, value: 4.6 year: 2019, value: 5.9",MWh/FTE,4.6
Great Eastern Holdings Ltd_report,B-ENV_WAC_TWC,"water consumption total water consumption cubic meters ¹ year: 2022, value: 201,714 year: 2021, value: 172,538 year: 2020, value: 200,993 year: 2019, value: 253,255",m³,201714
Great Eastern Holdings Ltd_report,B-ENV_WAC_WCI,"water consumption of own business operations cubic meters per total headcount ¹ year: 2022, value: 40.3 year: 2021, value: 36.3 year: 2020, value: 42.5 year: 2019, value: 55.1",m³/FTE,40.3
Great Eastern Holdings Ltd_report,B-ENV_WAG_TWG,"waste generation total waste generation in metric total weight of recycled waste, including electronic waste year: 2022, value: 257.1 year: 2021, value: 237.7 year: 2020, value: 224.0 year: 2019, value: 4.0",tons,257.1
Great Eastern Holdings Ltd_report,B-SOC_GED_CEG_M,"total headcount year: 2022, total headcount: 5,008, female: 3,148, male: 1,860 year: 2021, total headcount: 4,753, female: 3,045, male: 1,708 year: 2020, total headcount: 4,726, female: 3,044, male: 1,682",%,37.1
Great Eastern Holdings Ltd_report,B-SOC_GED_CEG_F,"total headcount year: 2022, total headcount: 5,008, female: 3,148, male: 1,860 year: 2021, total headcount: 4,753, female: 3,045, male: 1,708 year: 2020, total headcount: 4,726, female: 3,044, male: 1,682",%,62.9
